Usuario,Objetivo,Dia,Grupo,Exercicio
Joao,manter forma,Dia 1,Peito e tríceps,Supino reto 4x10
Joao,manter forma,Dia 1,Peito e tríceps,Crucifixo 3x12
Joao,manter forma,Dia 1,Peito e tríceps,Tríceps corda 4x10
Joao,manter forma,Dia 1,Peito e tríceps,Tríceps banco 3x12
Joao,manter forma,Dia 2,Costas e bíceps,Puxada frontal 4x10
Joao,manter forma,Dia 2,Costas e bíceps,Remada curvada 4x10
Joao,manter forma,Dia 2,Costas e bíceps,Rosca direta 3x12
Joao,manter forma,Dia 2,Costas e bíceps,Rosca alternada 3x12
Joao,manter forma,Dia 3,Pernas,Agachamento 4x10
Joao,manter forma,Dia 3,Pernas,Leg press 4x10
Joao,manter forma,Dia 3,Pernas,Cadeira extensora 3x12
Joao,manter forma,Dia 3,Pernas,Cadeira flexora 3x12
