Usuario,Objetivo,Dia,Grupo,Exercicio
Lucas,manter forma,Dia 1,Peito e tríceps,Supino reto 4x10
Lucas,manter forma,Dia 1,Peito e tríceps,Crucifixo 3x12
Lucas,manter forma,Dia 1,Peito e tríceps,Tríceps corda 4x10
Lucas,manter forma,Dia 1,Peito e tríceps,Tríceps banco 3x12
Lucas,manter forma,Dia 2,Costas e bíceps,Puxada frontal 4x10
Lucas,manter forma,Dia 2,Costas e bíceps,Remada curvada 4x10
Lucas,manter forma,Dia 2,Costas e bíceps,Rosca direta 3x12
Lucas,manter forma,Dia 2,Costas e bíceps,Rosca alternada 3x12
Lucas,manter forma,Dia 3,Pernas,Agachamento 4x10
Lucas,manter forma,Dia 3,Pernas,Leg press 4x10
Lucas,manter forma,Dia 3,Pernas,Cadeira extensora 3x12
Lucas,manter forma,Dia 3,Pernas,Cadeira flexora 3x12
Lucas,manter forma,Dia 4,Ombros e abdômen,Desenvolvimento 4x10
Lucas,manter forma,Dia 4,Ombros e abdômen,Elevação lateral 3x12
Lucas,manter forma,Dia 4,Ombros e abdômen,Prancha 3x30s
Lucas,manter forma,Dia 4,Ombros e abdômen,Abdominal infra 3x20
Lucas,manter forma,Dia 5,Cardio e Core,Corrida 20min
Lucas,manter forma,Dia 5,Cardio e Core,Prancha 3x30s
Lucas,manter forma,Dia 5,Cardio e Core,Abdominal supra 3x20
